Result Time,Granularity Period,Object Name,Reliability,"L.Cell.Unavail.Dur.Sys","L.ChMeas.PRB.DL.Avail","L.ChMeas.PRB.DL.Used.Avg","L.ChMeas.PRB.PUSCH.Avg","L.ChMeas.PRB.UL.Avail","L.ChMeas.PRB.UL.Used.Avg","L.CSFB.PrepAtt","L.CSFB.PrepAtt.Idle","L.CSFB.PrepSucc","L.CSFB.PrepSucc.Idle","L.E-RAB.AbnormRel","L.E-RAB.AbnormRel.MME","L.E-RAB.AttEst","L.E-RAB.NormRel","L.E-RAB.SuccEst","L.HHO.IntereNB.InterFreq.ExecAttOut","L.HHO.IntereNB.InterFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntereNB.IntraFreq.Succ.ReEst2Src","L.HHO.IntraeNB.InterFreq.ExecAttOut","L.HHO.IntraeNB.InterFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.Succ.ReEst2Src","L.IRATHO.E2G.ExecAttOut","L.IRATHO.E2G.ExecSuccOut","L.IRATHO.E2W.ExecAttOut","L.IRATHO.E2W.ExecSuccOut","L.Paging.S1.Rx","L.RRCRedirection.E2G","L.RRCRedirection.E2G.CSFB","L.RRCRedirection.E2G.PrepAtt","L.RRCRedirection.E2W","L.RRCRedirection.E2W.CSFB","L.RRCRedirection.E2W.PrepAtt","L.RRC.ConnReq.Att.DelayTol","L.RRC.ConnReq.Att.Emc","L.RRC.ConnReq.Att.HighPri","L.RRC.ConnReq.Att.MoData","L.RRC.ConnReq.Att.MoSig","L.RRC.ConnReq.Att.Mt","L.RRC.ConnReq.Succ.DelayTol","L.RRC.ConnReq.Succ.Emc","L.RRC.ConnReq.Succ.HighPri","L.RRC.ConnReq.Succ.MoData","L.RRC.ConnReq.Succ.MoSig","L.RRC.ConnReq.Succ.Mt","L.S1Sig.ConnEst.Att","L.S1Sig.ConnEst.Succ","L.Thrp.bits.DL","L.Thrp.bits.DL.LastTTI","L.Thrp.bits.DL.QCI.1","L.Thrp.bits.DL.SRB","L.Thrp.bits.UE.UL.LastTTI","L.Thrp.bits.UL","L.Thrp.bits.UL.QCI.1","L.Thrp.bits.UL.SRB","L.Thrp.Time.Cell.DL","L.Thrp.Time.Cell.DL.HighPrecision","L.Thrp.Time.Cell.UL","L.Thrp.Time.Cell.UL.HighPrecision","L.Thrp.Time.DL","L.Thrp.Time.DL.RmvLastTTI","L.Thrp.Time.UE.UL.RmvLastTTI","L.Thrp.Time.UL","L.Traffic.ActiveUser.Avg","L.Traffic.ActiveUser.DL.Avg","L.Traffic.ActiveUser.Max","L.Traffic.ActiveUser.UL.Avg","L.Traffic.SUNPT.DL.Avg","L.Traffic.User.Avg","L.Traffic.User.DLData.Avg","L.Traffic.User.DLData.Max","L.Traffic.User.Max","L.Traffic.User.ULData.Avg","L.Traffic.User.ULData.Max","L.Traffic.User.VoIP.Avg","L.Traffic.User.VoIP.Max","Radio Network Availability Rate (LTE)","(LTE) DL Resource Block Utilizing Rate"
,Minutes,,,s,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bit,bit,bit,bit,bit,bit,bit,bit,s,ms,s,ms,ms,ms,ms,ms,None,None,None,None,None,None,None,None,None,None,None,None,None,%,%
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=31, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML03, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,19.273,11.05,95,17.767,0,0,0,0,0,0,1858,2775,1855,70,70,428,428,0,0,0,109,109,0,0,0,0,0,466308,22,0,,0,0,,0,0,6,970,208,454,0,0,6,970,200,454,1630,1630,26518689472,4744494416,0,4950856,734286112,1614566048,0,7112272,,1288887,,1128651,1879956,859400,608326,1357393,2.022,0.928,12,1.274,0.721,32.401,,,55,,,0,0,100,20.076
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=21, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML02, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,25.369,10.64,95,17.491,0,0,0,0,2,0,3550,3942,3540,133,133,312,309,1,0,0,444,444,0,0,0,0,0,466312,199,0,,0,0,,0,0,53,1553,1127,1104,0,0,53,1549,1115,1104,3821,3821,22747487080,2781447920,0,7499936,449259320,1270180664,0,15667120,,1154083,,1073852,1878192,1385264,878132,1340952,1.765,0.778,14,1.236,0.67,25.701,,,50,,,0,0,100,26.426
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=11, Cell Name=E_CBN352ML1_Griyacitayampermai-DMT_ML01, eNodeB ID=434352, Cell FDD TDD indication=CELL_FDD",Reliable,0,96,36.164,13.274,95,20.826,0,0,0,0,1,0,4945,6324,4939,34,34,300,299,0,0,0,408,408,0,0,0,0,0,466303,49,0,,0,0,,0,0,12,2381,568,1393,0,0,12,2373,565,1392,4343,4342,54130975680,1735517328,0,9963128,1047703696,2307534136,0,19713872,,1995360,,1317768,3892004,2936604,605513,1627616,2.56,1.636,14,1.229,1.265,46.977,,,77,,,0,0,100,37.671
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=24, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,7.063,5.265,100,17.216,1,1,1,1,1,0,735,451,735,0,0,6,6,0,26,26,30,30,0,0,0,0,0,466308,7,1,,0,0,,0,0,11,279,167,309,0,0,11,279,165,309,764,764,2968493760,326677896,0,1789552,87338032,193618616,0,3367048,,129263,,119749,319601,206336,51840,132564,0.341,0.185,5,0.21,0.168,3.965,,,12,,,0,0,100,7.063
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=14, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,22.549,20.147,100,36.025,0,0,0,0,2,0,10966,9598,10949,0,0,190,185,0,55,55,61,61,4,0,0,0,0,466310,591,0,,0,0,,0,0,143,5219,1374,3337,0,0,143,5219,1373,3335,10070,10070,21486518600,2827347528,0,16650080,520198016,1317219408,0,33703672,,794573,,462789,1327687,845603,354015,726614,1.723,0.795,11,1.157,0.607,45.336,,,74,,,0,0,100,22.549
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=34, Cell Name=E_CBN352ME1_Griyacitayampermai-DMT_ME03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,10.974,8.429,100,22.829,2,1,2,1,0,0,5254,4486,5248,5,5,82,82,0,33,33,47,47,2,0,0,0,0,466312,50,2,,0,0,,0,0,64,2679,459,1462,0,0,64,2678,459,1462,4663,4660,7943012520,1002567544,0,7484344,180279864,425292864,0,12708344,,240269,,214272,304335,184384,127865,256077,0.485,0.2,8,0.356,0.215,19.381,,,38,,,0,0,100,10.974
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=35, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF03, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,10.6,8.805,100,22.892,0,0,0,0,1,0,2856,2593,2854,5,5,58,58,0,28,28,63,63,0,0,0,0,0,466312,20,0,,0,0,,0,0,16,1412,346,950,0,0,16,1412,345,950,2723,2722,9521100136,1419789224,0,4859664,211332568,462891024,0,7461784,,305992,,209437,402571,255296,97287,247929,0.475,0.245,6,0.308,0.221,14.722,,,28,,,0,0,100,10.6
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=25, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF02, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,8.361,7.886,100,21.178,2,1,2,1,2,0,1538,1358,1537,0,0,11,11,0,49,49,38,38,0,0,0,0,0,466531,10,2,,0,0,,0,0,11,690,213,640,0,0,11,690,210,640,1551,1551,7880337672,1404729872,0,2767512,238239880,449425600,0,4896056,,385574,,283279,775411,367010,153862,368416,0.77,0.414,8,0.44,0.233,9.328,,,19,,,0,0,100,8.361
2022-11-08 01:00,60,"E_CBN352_Griyacitayampermai-DMT/Cell:eNodeB Function Name=E_CBN352_Griyacitayampermai-DMT, Local Cell ID=15, Cell Name=E_CBN352MF1_Griyacitayampermai-DMT_MF01, eNodeB ID=434352, Cell FDD TDD indication=CELL_TDD",Reliable,0,100,24.189,20.023,100,34.591,3,3,3,3,1,0,7525,6843,7513,0,0,148,148,0,33,33,115,115,1,0,0,0,0,466312,151,3,,0,0,,0,0,196,3286,987,2609,0,0,196,3286,980,2609,7070,7070,35387465040,2208389456,0,11509480,486186640,1447120832,0,22986840,,940977,,445262,1709936,1258672,353046,685409,1.688,0.854,12,1.082,0.667,38.873,,,54,,,0,0,100,24.189
